emoji,subcat
🏴󠁧󠁢󠁥󠁮󠁧󠁿,subdivision-flag
🏴󠁧󠁢󠁷󠁬󠁳󠁿,subdivision-flag
⏰,time
⌚,time
⏳,time
🕐,time
🕜,time
⏱️,time
⌛,time
🕑,time
🕰️,time
🕛,time
🕒,time
🕝,time
⏲️,time
🕓,time
🕕,time
🕘,time
🕗,time
🕖,time
🕔,time
🕙,time
🕥,time
🕡,time
🕚,time
🕦,time
🕧,time
🕞,time
🕠,time
🕣,time
🕤,time
🕟,time
🕢,time
🔫,tool
⚔️,tool
🔗,tool
🗡️,tool
🏹,tool
🔨,tool
⚖️,tool
🪓,tool
🛡️,tool
⚙️,tool
⛓️,tool
⛏️,tool
⚒️,tool
🧲,tool
🛠️,tool
🔧,tool
🔩,tool
🧰,tool
🦯,tool
🗜️,tool
✈️,transport-air
🚀,transport-air
🛫,transport-air
🛸,transport-air
🛩️,transport-air
🚁,transport-air
🪂,transport-air
💺,transport-air
🛬,transport-air
🛰️,transport-air
🚡,transport-air
🚠,transport-air
🚟,transport-air
🚨,transport-ground
🚗,transport-ground
🛑,transport-ground
⛽,transport-ground
🚒,transport-ground
🚘,transport-ground
🚲,transport-ground
🚂,transport-ground
🏍️,transport-ground
🚙,transport-ground
🚛,transport-ground
🏎️,transport-ground
🚑,transport-ground
🚌,transport-ground
🚔,transport-ground
🚓,transport-ground
🚃,transport-ground
🚜,transport-ground
🚚,transport-ground
🛹,transport-ground
🛣️,transport-ground
🛴,transport-ground
🚕,transport-ground
🚐,transport-ground
🚦,transport-ground
🚧,transport-ground
🛵,transport-ground
🚄,transport-ground
🚅,transport-ground
🛢️,transport-ground
🚖,transport-ground
🚆,transport-ground
🚇,transport-ground
🚥,transport-ground
🚍,transport-ground
🚋,transport-ground
🚉,transport-ground
🚏,transport-ground
🚎,transport-ground
🛺,transport-ground
🚝,transport-ground
🦼,transport-ground
🚊,transport-ground
🦽,transport-ground
🛤️,transport-ground
🚞,transport-ground
🚈,transport-ground
🚮,transport-sign
🚺,transport-sign
🏧,transport-sign
🚹,transport-sign
♿,transport-sign
🚼,transport-sign
🚰,transport-sign
🚾,transport-sign
🚻,transport-sign
🛂,transport-sign
🛄,transport-sign
🛃,transport-sign
🛅,transport-sign
⚓,transport-water
⛵,transport-water
🚢,transport-water
🚤,transport-water
🛳️,transport-water
🛶,transport-water
🛥️,transport-water
⛴️,transport-water
⚠️,warning
🚫,warning
🔞,warning
🚭,warning
⛔,warning
☢️,warning
☣️,warning
🚸,warning
📵,warning
🚳,warning
🚷,warning
🚯,warning
🚱,warning
📝,writing
✏️,writing
🖌️,writing
✒️,writing
🖋️,writing
🖊️,writing
🖍️,writing
♈,zodiac
♋,zodiac
♉,zodiac
♊,zodiac
♌,zodiac
♒,zodiac
♏,zodiac
♎,zodiac
♍,zodiac
♓,zodiac
♐,zodiac
♑,zodiac
⛎,zodiac
